TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer																																																																																																																																																																									
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType																																																																																																																																																																									
DATA	GE2_107_Sep09 (Read Only)	29/09/2009 17:04	Agilent Technologies Scanner G2505C US10020348	2	04-20-2011 11:40:45	5	5	a6b42c92-f233-40bc-992b-d73ccd42288c	1	014850_D_F_20100430	30/04/2010 00:00	1	1	532	85	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	251485065459_1_2		D:\Theres\New Folder (2)\\US10020348_251485065459_S01.tif	US10020348_251485065459_S01	97573846-87b5-44f9-a86a-c2d71ffb6354	014850_D_F_20100430.xml	20/04/2011 11:57	rmharev	CHEMSTATION01	10.7.1.1	0	1	0																																																																																																																																																																									
*																																																																																																																																																																																																												
TYPE	float	float	float	integer	integer	float	float	float	integer	integer	float	float	float	float	float	float	integer	float	float	float	integer	float	float	integer	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	float	float	integer	integer	float	float	integer	integer	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	integer	float	float	float	float	float	float	float	float	integer	integer	integer	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	float	integer	text	integer	integer	float	float	float	float	boolean	float	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
DATA	39	1	39	0	1	AT_D_3	AT_D_3	4407.67	212.5	0.00E+00	6.38E-01	1.00E+00	4.40E+00	2.79E+00	4.39E+00	2.78E+00	39	55	39	55	7.18E+00	1.18E+01	0	0	0	0	0	0	1	0	0	0	0	-5.55789	-2.56024	0	0	0	0	65	39.563	55.3996																																																																																																																																																																		
DATA	40	1	40	0	0	A_23_P148439	THC2487640	4433.25	212.627	-1.01E-01	6.26E-02	1.08E-01	3.48E+02	2.76E+02	3.52E+01	2.78E+01	203	370	40	55	7.55E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	155.303	308.257	1	1	1	1	46.1809	40.7271	55																																																																																																																																																																		
DATA	41	1	41	0	0	A_23_P137931	NM_000677	4458.44	212.734	2.51E-01	6.58E-02	1.36E-04	3.09E+02	5.52E+02	3.13E+01	5.52E+01	176	638	40	55	7.76E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	137.799	611.964	1	1	1	1	50.7771	40.7239	55.861																																																																																																																																																																		
DATA	42	1	42	0	0	A_23_P203819	NM_005895	4483.76	212.823	-1.01E-01	6.21E-02	1.05E-01	7.84E+03	6.22E+03	7.84E+02	6.22E+02	3317.5	6423	40	56	7.54E+00	1.27E+01	0	0	0	0	0	0	0	0	0	0	0	3478.89	6881.73	1	1	1	1	50.4627	41.0269	56.3512																																																																																																																																																																		
DATA	43	1	43	0	0	A_32_P198868	THC2596047	4509.11	213.583	0.00E+00	5.93E-01	1.00E+00	4.48E+00	3.32E+00	4.46E+00	2.83E+00	43	59.5	41	54	7.37E+00	1.23E+01	0	0	0	0	0	0	0	0	0	0	0	-2.08691	3.40508	0	1	0	0	65	41.2233	54.4769																																																																																																																																																																		
DATA	44	1	44	0	0	A_24_P687	NM_004932	4534.5	213	0.00E+00	6.38E-01	1.00E+00	4.48E+00	2.84E+00	4.46E+00	2.83E+00	39	56	41	54	7.35E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	-4.76892	-2.49809	0	0	0	0	65	40.9387	54.5862																																																																																																																																																																		
DATA	45	1	45	0	0	A_23_P253052	NM_031462	4560.08	213.11	1.22E-01	6.24E-02	5.14E-02	1.15E+04	1.52E+04	1.15E+03	1.52E+03	4846	15442	40	55	7.39E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	5039.2	16665.7	1	1	1	1	46.8651	41.0829	55.5318																																																																																																																																																																		
DATA	46	1	46	0	0	A_32_P139302	AI287491	4585.71	213.338	1.19E-01	1.14E-01	2.94E-01	2.19E+01	2.88E+01	5.29E+00	3.92E+00	53	89	41	55.5	7.55E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	9.64654	31.185	1	1	0	1	50.7771	42.0792	55.4093																																																																																																																																																																		
DATA	47	1	47	0	0	A_23_P201647	NM_173156	4610.75	213.373	-3.91E-04	6.14E-02	9.95E-01	1.59E+03	1.59E+03	1.59E+02	1.59E+02	708	1699.5	41	54	7.09E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	698.957	1718.21	1	1	1	1	49.1849	42.0786	54.9646																																																																																																																																																																		
DATA	48	1	48	0	0	A_24_P350557	AK097214	4636.42	213.427	0.00E+00	6.38E-01	1.00E+00	4.54E+00	2.88E+00	4.52E+00	2.87E+00	38	57	41	55.5	7.37E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	-5.50089	-1.48264	0	0	0	0	65	41.6378	55.7283																																																																																																																																																																		
DATA	49	1	49	0	0	A_23_P146584	NM_080655	4662.01	213.422	1.87E-01	6.38E-02	3.40E-03	2.01E+03	3.09E+03	2.01E+02	3.09E+02	890.5	3122	42	55	7.41E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	875.53	3316.46	1	1	1	1	51.0895	42.0534	55.4071																																																																																																																																																																		
DATA	50	1	50	0	0	A_24_P289607	NM_018015	4687.11	213.5	0.00E+00	6.38E-01	1.00E+00	4.57E+00	2.90E+00	4.55E+00	2.90E+00	39	59	42	54	7.41E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	-5.41002	1.59857	0	0	0	0	65	42.437	54.9606																																																																																																																																																																		
DATA	51	1	51	0	0	A_32_P54289	THC2648397	4712.88	213.549	-1.12E-01	6.38E-02	7.96E-02	1.99E+02	1.54E+02	2.05E+01	1.56E+01	129	221	42	55	7.38E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	85.4531	165.116	1	1	1	1	50.7771	42.093	55.2539																																																																																																																																																																		
DATA	52	1	52	0	0	A_23_P77000	NM_014909	4737.74	213.593	-4.61E-02	6.16E-02	4.54E-01	2.08E+04	1.87E+04	2.08E+03	1.87E+03	8245	17846	42	53	7.71E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	8869.45	20013.9	1	1	1	1	51.0895	42.1333	53.7255																																																																																																																																																																		
DATA	53	1	53	0	0	A_23_P111020	NM_003131	4763.42	213.573	-5.09E-02	6.35E-02	4.23E-01	1.69E+02	1.51E+02	1.76E+01	1.53E+01	117	220	42	53	7.65E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	72.256	160.458	1	1	1	1	57.5363	42.6089	53.9615																																																																																																																																																																		
DATA	54	1	54	0	0	A_32_P103558	AB208948	4788.5	214	0.00E+00	6.38E-01	1.00E+00	4.63E+00	2.94E+00	4.61E+00	2.94E+00	44	58.5	42	53	7.31E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	0.0389471	2.29377	0	0	0	0	54.1152	42.638	54.0978																																																																																																																																																																		
DATA	55	1	55	0	0	A_32_P235289	THC2633633	4814	214	-9.66E-02	1.85E-01	6.01E-01	1.56E+01	1.25E+01	5.12E+00	3.06E+00	52.5	71.5	42	55	6.60E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	6.8076	12.8762	1	1	0	0	54.9904	42.1949	55.1092																																																																																																																																																																		
DATA	56	1	56	0	0	A_32_P22191	NM_020235	4839.42	213.781	4.19E-02	6.59E-02	5.25E-01	1.00E+02	1.11E+02	1.12E+01	1.14E+01	83.5	175.5	42	55	7.54E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	42.4795	116.425	1	1	1	1	48.2044	42.3795	55.2884																																																																																																																																																																		
DATA	57	1	57	0	0	A_24_P253251	NM_003045	4864.92	214.192	1.85E-02	6.14E-02	7.63E-01	2.55E+03	2.66E+03	2.55E+02	2.66E+02	1067.5	2628	42	55	7.36E+00	1.32E+01	0	0	0	0	0	0	0	0	0	0	0	1085.67	2774.67	1	1	1	1	49.5074	42.5616	55.9746																																																																																																																																																																		
DATA	58	1	58	0	0	A_24_P52168	A_24_P52168	4890.42	214.427	-2.34E-01	6.50E-02	3.17E-04	7.58E+04	4.42E+04	7.58E+03	4.42E+03	29902.5	46687	43	54.5	7.71E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	30615.2	48206.6	1	1	1	1	57.5363	43.4306	55.1766																																																																																																																																																																		
DATA	59	1	59	0	0	A_24_P530900	A_24_P530900	4915.81	214.506	5.03E-03	6.30E-02	9.36E-01	1.76E+02	1.78E+02	1.83E+01	1.80E+01	119	239	43	54	7.02E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	73.9026	185.5	1	1	1	1	50.4627	42.9046	54.9583																																																																																																																																																																		
DATA	60	1	60	0	0	A_23_P391894	AK000218	4941.11	214.5	2.95E-01	3.60E-01	4.13E-01	4.82E+00	9.50E+00	4.82E+00	3.08E+00	46	67	43	56	7.18E+00	1.11E+01	0	0	0	0	0	0	0	0	0	0	0	1.99685	9.34732	0	1	0	0	56.9804	43.2174	55.6186																																																																																																																																																																		
DATA	61	1	61	0	0	A_24_P209571	NM_145690	4966.44	214.469	8.41E-02	6.19E-02	1.74E-01	1.19E+04	1.44E+04	1.19E+03	1.44E+03	4870	14087	43	54.5	7.41E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	4972.88	14887.1	1	1	1	1	50.4627	42.9903	54.6182																																																																																																																																																																		
DATA	62	1	62	0	0	A_24_P148907	NM_006439	4991.83	214.458	8.37E-01	1.03E-01	5.90E-16	2.74E+01	1.89E+02	5.77E+00	1.91E+01	54	255	44	55	7.42E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	11.4771	194.434	1	1	1	1	51.0895	44.0501	55.6204																																																																																																																																																																		
DATA	63	1	63	0	0	A_24_P6825	NM_001143978	5017.71	214.872	-5.23E-03	4.82E-01	9.91E-01	5.15E+00	5.09E+00	4.80E+00	3.03E+00	46	60	43	54	7.29E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	2.28994	4.90735	1	1	0	0	65	42.9483	54.67																																																																																																																																																																		
DATA	64	1	64	0	0	A_23_P149281	NM_004431	5042.58	214.573	8.17E-02	4.59E-01	8.59E-01	4.90E+00	5.91E+00	4.82E+00	3.05E+00	48	64	41	55	6.91E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	2.17153	5.7002	1	1	0	0	57.5363	41.9121	55.1328																																																																																																																																																																		
DATA	65	1	65	0	0	A_23_P104098	NM_177402	5068.09	214.614	1.34E-01	6.97E-02	5.45E-02	7.06E+01	9.62E+01	8.71E+00	1.00E+01	75	154	42	54	7.28E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	29.4024	98.3335	1	1	1	1	57.259	42.6151	55.0213																																																																																																																																																																		
DATA	66	1	66	0	0	A_24_P151920	NM_014573	5093.29	215.043	2.85E-01	9.92E-02	4.05E-03	2.43E+01	4.69E+01	5.63E+00	5.49E+00	53	105	42	54	7.37E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	10.1806	47.6251	1	1	0	1	46.8651	42.8254	54.9425																																																																																																																																																																		
DATA	67	1	67	0	0	A_24_P252223	NM_021945	5118.5	215	-2.62E-02	6.25E-02	6.75E-01	2.34E+02	2.20E+02	2.39E+01	2.22E+01	141	285.5	42	55	7.51E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	97.0856	224.072	1	1	1	1	54.1152	42.7354	55.8249																																																																																																																																																																		
DATA	68	1	68	0	0	A_32_P141065	THC2656968	5144.45	215.47	-1.70E-02	6.39E-02	7.91E-01	1.47E+02	1.41E+02	1.56E+01	1.44E+01	108	201	42	55	7.16E+00	1.18E+01	0	0	0	0	0	0	0	0	0	0	0	60.9985	143.753	1	1	1	1	51.4001	42.1111	55.1949																																																																																																																																																																		
DATA	69	1	69	0	0	A_23_P217015	NM_003011	5169.5	215.231	-6.12E-02	6.17E-02	3.22E-01	1.41E+03	1.22E+03	1.41E+02	1.22E+02	606	1288	42	54	7.47E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	589.379	1228.96	1	1	1	1	49.8279	42.9243	54.899																																																																																																																																																																		
DATA	70	1	70	0	0	A_32_P188888	AA512897	5195	215.455	-5.76E-02	1.34E-01	6.66E-01	2.27E+01	1.99E+01	5.53E+00	3.50E+00	55	76.5	43	54	7.21E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	9.56241	19.9059	1	1	0	1	55.8519	43.1973	54.7559																																																																																																																																																																		
DATA	71	1	71	0	0	A_23_P135381	NM_001003845	5220.42	215.427	0.00E+00	6.36E-01	1.00E+00	4.74E+00	3.08E+00	4.73E+00	3.07E+00	40	61	42	54	7.14E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	-4.98515	1.59391	0	0	0	0	65	42.3591	54.4841																																																																																																																																																																		
DATA	72	1	72	0	0	A_23_P151294	NM_000619	5245.18	215.673	-6.64E-02	4.65E-01	8.87E-01	5.75E+00	4.93E+00	4.82E+00	3.07E+00	46	62	41	54	7.18E+00	1.13E+01	0	0	0	0	0	0	0	0	0	0	0	2.55048	4.69292	1	1	0	0	65	42.1373	54.8392																																																																																																																																																																		
DATA	73	1	73	0	0	A_32_P149011	CU680317	5270.98	216.417	0.00E+00	5.57E-01	1.00E+00	4.75E+00	4.08E+00	4.74E+00	3.08E+00	45	62	42	54	7.51E+00	1.23E+01	0	0	0	0	0	0	0	0	0	0	0	-0.692512	3.84825	0	1	0	0	65	43.0139	54.3723																																																																																																																																																																		
DATA	74	1	74	0	0	A_32_P156549	A_32_P156549	5296.62	215.57	-7.53E-02	6.18E-02	2.23E-01	2.03E+03	1.71E+03	2.03E+02	1.71E+02	893	1737	42	56	7.21E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	857.564	1717.01	1	1	1	1	50.4627	41.8752	56.4184																																																																																																																																																																		
DATA	75	1	75	66	1	DarkCorner	DarkCorner	5322	215.545	0.00E+00	6.35E-01	1.00E+00	4.70E+00	3.07E+00	4.68E+00	3.06E+00	40	58	42	54	7.76E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	-4.22908	-1.45794	0	0	0	0	65	42.4087	55.0395																																																																																																																																																																		
DATA	76	1	76	66	1	DarkCorner	DarkCorner	5347.93	215.705	0.00E+00	6.34E-01	1.00E+00	4.68E+00	3.07E+00	4.67E+00	3.06E+00	41	59	42	53	7.31E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	-3.82266	0.230322	0	0	0	0	65	41.9962	54.2034																																																																																																																																																																		
DATA	77	1	77	66	1	DarkCorner	DarkCorner	5372.5	216	0.00E+00	6.34E-01	1.00E+00	4.66E+00	3.06E+00	4.65E+00	3.05E+00	40	56	41	54	7.19E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	-4.34175	-2.00129	0	0	0	0	65	41.1765	54.5176																																																																																																																																																																		
DATA	78	1	78	66	1	DarkCorner	DarkCorner	5398.5	216	0.00E+00	6.34E-01	1.00E+00	4.64E+00	3.06E+00	4.62E+00	3.05E+00	40	54	41	55	7.35E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	-3.82326	-4.14504	0	0	0	0	65	40.9237	55.4403																																																																																																																																																																		
DATA	79	1	79	66	1	DarkCorner	DarkCorner	5423.5	216	0.00E+00	6.34E-01	1.00E+00	4.62E+00	3.05E+00	4.60E+00	3.04E+00	41.5	59	40	54	6.99E+00	1.26E+01	0	0	0	0	0	0	0	0	0	0	0	-3.33239	-1.18561	0	0	0	0	65	40.1582	55.1934																																																																																																																																																																		
DATA	80	1	80	66	1	DarkCorner	DarkCorner	5448.91	216.386	0.00E+00	6.33E-01	1.00E+00	4.59E+00	3.04E+00	4.57E+00	3.03E+00	37.5	56	40	54	7.39E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	-6.40062	-4.07673	0	0	0	0	65	40.9066	54.6938																																																																																																																																																																		
DATA	81	1	81	66	1	DarkCorner	DarkCorner	5474.42	216.427	0.00E+00	6.33E-01	1.00E+00	4.55E+00	3.02E+00	4.54E+00	3.01E+00	39.5	57	40	55	7.14E+00	1.18E+01	0	0	0	0	0	0	0	0	0	0	0	-3.94646	-3.22453	0	0	0	0	65	40.498	55.1094																																																																																																																																																																		
DATA	82	1	82	66	1	DarkCorner	DarkCorner	5499.58	216.427	0.00E+00	6.33E-01	1.00E+00	4.52E+00	3.01E+00	4.50E+00	3.00E+00	37	54	39	55	7.44E+00	1.26E+01	0	0	0	0	0	0	0	0	0	0	0	-5.44878	-3.92485	0	0	0	0	65	39.9902	55.3595																																																																																																																																																																		
DATA	83	1	83	66	1	DarkCorner	DarkCorner	5524.78	215.556	0.00E+00	6.33E-01	1.00E+00	4.48E+00	2.99E+00	4.47E+00	2.98E+00	39	56.5	38	53	7.10E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	-4.44377	-0.628588	0	0	0	0	65	38.7542	54.8138																																																																																																																																																																		
DATA	84	1	84	260	1	GE_BrightCorner	GE_BrightCorner	5550.5	216.5	-6.21E-02	6.17E-02	3.14E-01	1.00E+05	8.69E+04	1.00E+04	8.69E+03	41026	96775	37	54	6.96E+00	1.24E+01	0	0	0	0	0	0	0	0	1	0	0	41592	97695.2	1	1	1	1	57.5363	38.0212	54.8942																																																																																																																																																																		
DATA	85	1	85	260	1	GE_BrightCorner	GE_BrightCorner	5575.89	216.5	-6.34E-02	6.17E-02	3.04E-01	9.89E+04	8.55E+04	9.89E+03	8.55E+03	40860.5	95740.5	37	54	7.11E+00	1.31E+01	0	0	0	0	0	0	0	0	1	0	0	41483	96775.3	1	1	1	1	56.9804	37.739	56.0971																																																																																																																																																																		
DATA	86	2	1	260	1	GE_BrightCorner	GE_BrightCorner	3455.5	216.5	-6.98E-02	6.17E-02	2.58E-01	9.24E+04	7.87E+04	9.24E+03	7.87E+03	43917	103781	42	55	7.39E+00	1.40E+01	0	0	0	0	0	0	0	0	0	0	0	43727.6	105023	1	1	1	1	57.5363	42.8986	56.3364																																																																																																																																																																		
DATA	87	2	2	66	1	DarkCorner	DarkCorner	3480.58	216.573	0.00E+00	6.36E-01	1.00E+00	3.91E+00	2.52E+00	3.89E+00	2.51E+00	45	54	43.5	55	6.83E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	0.45983	-4.9033	0	0	0	0	65	43.598	56.1814																																																																																																																																																																		
DATA	88	2	3	66	1	DarkCorner	DarkCorner	3506.42	216.573	0.00E+00	6.36E-01	1.00E+00	3.93E+00	2.53E+00	3.91E+00	2.53E+00	42	58	45	54	7.63E+00	1.18E+01	0	0	0	0	0	0	0	0	0	0	0	-0.63265	-1.15048	0	0	0	0	65	45.2294	55.2468																																																																																																																																																																		
DATA	89	2	4	66	1	DarkCorner	DarkCorner	3531.5	216.648	0.00E+00	6.36E-01	1.00E+00	3.95E+00	2.55E+00	3.93E+00	2.54E+00	43	57	44	52.5	7.56E+00	1.27E+01	0	0	0	0	0	0	0	0	0	0	0	-0.00508195	-1.00787	0	0	0	0	65	44.9265	54.6422																																																																																																																																																																		
DATA	90	2	5	66	1	DarkCorner	DarkCorner	3557	217	0.00E+00	6.36E-01	1.00E+00	3.97E+00	2.56E+00	3.95E+00	2.55E+00	43	53.5	44	53	7.46E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	-1.38336	-4.0666	0	0	0	0	65	43.9502	53.2239																																																																																																																																																																		
DATA	91	2	6	66	1	DarkCorner	DarkCorner	3582.5	217	0.00E+00	6.36E-01	1.00E+00	3.98E+00	2.57E+00	3.97E+00	2.56E+00	43	56	43	56	8.05E+00	1.30E+01	0	0	0	0	0	0	0	0	0	0	0	-2.0143	-5.39569	0	0	0	0	65	43.6746	57.7225																																																																																																																																																																		
DATA	92	2	7	66	1	DarkCorner	DarkCorner	3607.61	217.069	0.00E+00	6.36E-01	1.00E+00	4.00E+00	2.58E+00	3.99E+00	2.57E+00	43	54	44	56	7.30E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	-1.70924	-4.24058	0	0	0	0	65	43.6447	55.5178																																																																																																																																																																		
DATA	93	2	8	66	1	DarkCorner	DarkCorner	3633.42	217.427	0.00E+00	6.36E-01	1.00E+00	4.02E+00	2.59E+00	4.00E+00	2.58E+00	43	53	43	55	7.36E+00	1.27E+01	0	0	0	0	0	0	0	0	0	0	0	-0.643105	-4.68267	0	0	0	0	65	43.0971	56.1311																																																																																																																																																																		
DATA	94	2	9	66	1	DarkCorner	DarkCorner	3658.58	217.427	0.00E+00	6.37E-01	1.00E+00	4.03E+00	2.60E+00	4.03E+00	2.59E+00	44	52	44	55	8.15E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	1.2659	-6.16739	0	0	0	0	65	44.5857	54.7667																																																																																																																																																																		
DATA	95	2	10	66	1	DarkCorner	DarkCorner	3684	217.455	0.00E+00	6.36E-01	1.00E+00	4.05E+00	2.61E+00	4.03E+00	2.60E+00	44	56	44	53	7.33E+00	9.60E+00	0	0	0	0	0	0	0	0	0	0	0	-0.56342	-2.62571	0	0	0	0	65	44.7835	52.0103																																																																																																																																																																		
DATA	96	2	11	0	0	A_23_P215419	NM_004968	3709.61	217.414	2.57E-01	6.68E-02	1.18E-04	1.36E+02	2.45E+02	1.43E+01	2.47E+01	106.5	362.5	43	52.5	7.01E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	65.4754	294.938	1	1	1	1	52.3208	43.5857	53.419																																																																																																																																																																		
DATA	97	2	12	0	0	A_23_P145874	NM_152703	3734.53	217.723	-1.42E-01	6.28E-02	2.41E-02	8.35E+03	6.03E+03	8.35E+02	6.03E+02	3903	6629	43	57	7.34E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	4029.69	7205.42	1	1	1	1	51.7088	43.3	56.965																																																																																																																																																																		
DATA	98	2	13	0	1	AT_ssH_TR_5	AT_ssH_TR_5	3760.46	217.42	2.24E-01	6.58E-02	6.63E-04	1.43E+02	2.39E+02	1.49E+01	2.40E+01	112.5	336	42	56	7.13E+00	1.10E+01	0	0	0	0	0	0	0	0	0	0	0	68.3437	285.297	1	1	1	1	51.0895	43.1471	56.0882																																																																																																																																																																		
DATA	99	2	14	0	0	A_23_P127662	NM_001002917	3785.1	217.696	6.26E-02	1.16E-01	5.90E-01	2.06E+01	2.38E+01	4.84E+00	3.41E+00	55	84.5	42	54	7.80E+00	1.29E+01	0	0	0	0	0	0	0	0	0	0	0	9.95697	27.9752	1	1	0	1	53.8203	43.235	55.6406																																																																																																																																																																		
DATA	100	2	15	0	0	A_23_P253029	NM_032515	3810.91	217.614	-1.24E-01	6.27E-02	4.83E-02	4.43E+02	3.33E+02	4.45E+01	3.34E+01	254	445	42	55	7.24E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	211.643	394.419	1	1	1	1	57.259	42.478	55.1415																																																																																																																																																																		
DATA	101	2	16	0	0	A_32_P125233	BG167701	3835.36	217.716	1.70E-03	2.95E-01	9.95E-01	7.46E+00	7.49E+00	4.31E+00	2.66E+00	48	69	42	55	7.33E+00	1.26E+01	0	0	0	0	0	0	0	0	0	0	0	3.72661	8.44571	1	1	0	0	46.1809	42.4676	56.7361																																																																																																																																																																		
DATA	102	2	17	0	0	A_24_P298846	NM_001029863	3861.59	217.908	8.65E-03	6.16E-02	8.88E-01	5.04E+02	5.14E+02	5.06E+01	5.15E+01	282.5	643	43	54	7.69E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	240.167	604.882	1	1	1	1	49.1849	43.3756	54.6995																																																																																																																																																																		
DATA	103	2	18	0	0	A_23_P141315	NM_001014445	3887.39	218.069	1.05E-02	6.19E-02	8.66E-01	2.78E+02	2.85E+02	2.82E+01	2.86E+01	172	380	42	56	8.21E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	131.81	336.315	1	1	1	1	53.8203	42.3831	56.2289																																																																																																																																																																		
DATA	104	2	19	0	0	A_23_P87351	NM_001033	3912.44	218.26	3.03E-02	6.15E-02	6.23E-01	2.57E+03	2.75E+03	2.57E+02	2.75E+02	1199	3130	42	56	7.56E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	1220.35	3219.07	1	1	1	1	49.5074	42.8821	56.9528																																																																																																																																																																		
DATA	105	2	20	0	1	AT_ssH_PC_3	AT_ssH_PC_3	3937.99	218.384	2.17E-01	6.46E-02	8.03E-04	4.71E+02	7.75E+02	4.73E+01	7.76E+01	270	950.5	41	52	7.85E+00	1.13E+01	0	0	0	0	0	0	0	0	0	0	0	222.864	904.937	1	1	1	1	48.8603	41.5859	52.3131																																																																																																																																																																		
DATA	106	2	21	0	0	A_23_P155677	NM_005339	3963.42	218.427	1.91E-02	6.15E-02	7.56E-01	1.37E+03	1.43E+03	1.37E+02	1.43E+02	674	1671.5	42	53	7.27E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	647.815	1661.29	1	1	1	1	57.5363	42.3251	54.4286																																																																																																																																																																		
DATA	107	2	22	0	0	A_24_P938342	AF264621	3988.58	218.427	0.00E+00	6.37E-01	1.00E+00	4.19E+00	2.68E+00	4.18E+00	2.67E+00	40	56	40	55	7.52E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	-3.99685	-1.0999	0	0	0	0	57.5363	40.8972	55.6402																																																																																																																																																																		
DATA	108	2	23	0	0	A_24_P131173	NM_024709	4014.11	218.5	9.75E-02	1.05E-01	3.54E-01	2.35E+01	2.94E+01	5.08E+00	3.85E+00	55	91	41.5	56	7.24E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	11.0527	33.9669	1	1	1	1	56.9804	42.1311	56.0631																																																																																																																																																																		
DATA	109	2	24	0	0	A_32_P76091	NM_002156	4039.48	218.446	-3.19E-02	6.16E-02	6.05E-01	5.97E+02	5.55E+02	5.99E+01	5.55E+01	324.5	702	40	53	7.28E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	279.623	642.041	1	1	1	1	51.7088	40.7277	54.507																																																																																																																																																																		
DATA	110	2	25	0	0	A_24_P50489	A_24_P50489	4064.94	218.699	-9.65E-02	6.20E-02	1.20E-01	9.98E+03	7.99E+03	9.98E+02	7.99E+02	4693	9175	41	55	7.96E+00	1.18E+01	0	0	0	0	0	0	0	0	0	0	0	4644.09	9262.29	1	1	1	1	51.7088	41.3284	55.3971																																																																																																																																																																		
